id,issueId,date,timeSpent,timeSpentHours
26065,74230,2023-04-28,2h,2.0
25951,73864,2023-04-18,1h,1.0
25868,73812,2023-04-05,2h,2.0
25872,73812,2023-04-05,2h,2.0
25885,73812,2023-04-05,1h,1.0
25886,73812,2023-04-05,1h,1.0
25888,73812,2023-04-06,1h,1.0
25889,73812,2023-04-06,12m,0.2
25890,73812,2023-04-06,30m,0.5
25891,73812,2023-04-06,2h,2.0
25901,73812,2023-04-07,1h,1.0
25902,73812,2023-04-08,30m,0.5
25912,73812,2023-04-10,30m,0.5
25924,73812,2023-04-11,30m,0.5
25959,73811,2023-04-19,1d,8.0
25976,73811,2023-04-20,1d 1h 36m,9.6
25937,73810,2023-04-14,1d,8.0
25938,73810,2023-04-14,1d,8.0
25957,73810,2023-04-19,4h,4.0
25958,73810,2023-04-19,1d,8.0
26020,73810,2023-04-25,1h,1.0
26041,73810,2023-04-27,1h 30m,1.5
25865,73809,2023-04-04,40m,0.6666666666666666
25925,73809,2023-04-11,30m,0.5
25927,73809,2023-04-11,6h 24m,6.4
25855,72940,2023-04-04,3h,3.0
25856,72940,2023-04-04,20m,0.3333333333333333
25866,72940,2023-04-04,1h,1.0
25867,72940,2023-04-04,1h,1.0
25892,72940,2023-04-06,1d,8.0
25913,72940,2023-04-10,1d,8.0
25973,72940,2023-04-20,1h,1.0
25975,72940,2023-04-20,2h,2.0
26025,72917,2023-04-26,1h,1.0
25853,72802,2023-04-03,40m,0.6666666666666666
25936,72802,2023-04-12,1d,8.0
25887,72769,2023-04-05,2h,2.0
25838,72447,2023-04-02,1d 4h,12.0
25854,72447,2023-04-03,4h,4.0
25926,72366,2023-04-12,48m,0.8
26053,72366,2023-04-28,4h,4.0
26066,72322,2023-04-28,1d,8.0
26042,71990,2023-04-27,4h,4.0
26052,71990,2023-04-27,4h,4.0
25996,70416,2023-04-21,1d,8.0
26010,70416,2023-04-25,1d,8.0
26026,70416,2023-04-25,7h,7.0
